x,y,Podocnemis.lewyana
-75.22952,10.38806729,1
-75.14618666,10.38806729,1
-75.06285333,10.38806729,1
-74.97952,10.38806729,1
-75.39618666,10.30473396,1
-75.31285333,10.30473396,1
-75.22952,10.30473396,1
-75.14618666,10.30473396,1
-75.06285333,10.30473396,1
-74.97952,10.30473396,1
-74.89618667,10.30473396,1
-74.81285333,10.30473396,1
-75.39618666,10.22140062,1
-75.31285333,10.22140062,1
-75.22952,10.22140062,1
-75.14618666,10.22140062,1
-75.06285333,10.22140062,1
-74.97952,10.22140062,1
-74.89618667,10.22140062,1
-74.81285333,10.22140062,1
-75.31285333,10.13806729,1
-75.22952,10.13806729,1
-75.14618666,10.13806729,1
-75.06285333,10.13806729,1
-74.97952,10.13806729,1
-74.89618667,10.13806729,1
-74.81285333,10.13806729,1
-74.72952,10.13806729,1
-75.31285333,10.05473396,1
-75.22952,10.05473396,1
-75.14618666,10.05473396,1
-75.06285333,10.05473396,1
-74.97952,10.05473396,1
-74.89618667,10.05473396,1
-74.81285333,10.05473396,1
-75.31285333,9.971400624,1
-75.22952,9.971400624,1
-75.14618666,9.971400624,1
-75.06285333,9.971400624,1
-74.97952,9.971400624,1
-74.89618667,9.971400624,1
-74.81285333,9.971400624,1
-74.72952,9.971400624,1
-74.64618667,9.971400624,1
-75.31285333,9.888067291,1
-75.22952,9.888067291,1
-75.14618666,9.888067291,1
-75.06285333,9.888067291,1
-74.97952,9.888067291,1
-74.89618667,9.888067291,1
-74.81285333,9.888067291,1
-74.72952,9.888067291,1
-75.22952,9.804733958,1
-75.14618666,9.804733958,1
-75.06285333,9.804733958,1
-74.97952,9.804733958,1
-74.89618667,9.804733958,1
-74.81285333,9.804733958,1
-74.72952,9.804733958,1
-74.64618667,9.804733958,1
-75.22952,9.721400625,1
-75.14618666,9.721400625,1
-75.06285333,9.721400625,1
-74.97952,9.721400625,1
-74.89618667,9.721400625,1
-74.81285333,9.721400625,1
-74.72952,9.721400625,1
-74.64618667,9.721400625,1
-75.22952,9.638067292,1
-75.14618666,9.638067292,1
-75.06285333,9.638067292,1
-74.97952,9.638067292,1
-74.89618667,9.638067292,1
-74.81285333,9.638067292,1
-74.72952,9.638067292,1
-74.64618667,9.638067292,1
-73.89618667,9.638067292,1
-75.31285333,9.554733959,1
-75.22952,9.554733959,1
-75.14618666,9.554733959,1
-75.06285333,9.554733959,1
-74.97952,9.554733959,1
-74.89618667,9.554733959,1
-74.81285333,9.554733959,1
-74.72952,9.554733959,1
-74.64618667,9.554733959,1
-73.97952,9.554733959,1
-73.89618667,9.554733959,1
-73.81285334,9.554733959,1
-73.72952,9.554733959,1
-75.31285333,9.471400626,1
-75.22952,9.471400626,1
-75.14618666,9.471400626,1
-75.06285333,9.471400626,1
-74.97952,9.471400626,1
-74.89618667,9.471400626,1
-74.81285333,9.471400626,1
-74.72952,9.471400626,1
-74.64618667,9.471400626,1
-74.56285333,9.471400626,1
-73.97952,9.471400626,1
-73.89618667,9.471400626,1
-73.81285334,9.471400626,1
-73.72952,9.471400626,1
-75.89618666,9.388067293,1
-75.81285333,9.388067293,1
-75.72952,9.388067293,1
-75.64618666,9.388067293,1
-75.56285333,9.388067293,1
-75.47952,9.388067293,1
-75.39618666,9.388067293,1
-75.31285333,9.388067293,1
-75.22952,9.388067293,1
-75.14618666,9.388067293,1
-75.06285333,9.388067293,1
-74.97952,9.388067293,1
-74.89618667,9.388067293,1
-74.81285333,9.388067293,1
-74.72952,9.388067293,1
-74.64618667,9.388067293,1
-74.56285333,9.388067293,1
-74.47952,9.388067293,1
-74.39618667,9.388067293,1
-74.31285333,9.388067293,1
-74.22952,9.388067293,1
-74.14618667,9.388067293,1
-74.06285334,9.388067293,1
-73.97952,9.388067293,1
-73.89618667,9.388067293,1
-73.81285334,9.388067293,1
-73.72952,9.388067293,1
-75.89618666,9.30473396,1
-75.81285333,9.30473396,1
-75.72952,9.30473396,1
-75.64618666,9.30473396,1
-75.56285333,9.30473396,1
-75.47952,9.30473396,1
-75.39618666,9.30473396,1
-75.31285333,9.30473396,1
-75.22952,9.30473396,1
-75.14618666,9.30473396,1
-75.06285333,9.30473396,1
-74.97952,9.30473396,1
-74.89618667,9.30473396,1
-74.81285333,9.30473396,1
-74.72952,9.30473396,1
-74.64618667,9.30473396,1
-74.56285333,9.30473396,1
-74.47952,9.30473396,1
-74.39618667,9.30473396,1
-74.31285333,9.30473396,1
-74.22952,9.30473396,1
-74.14618667,9.30473396,1
-74.06285334,9.30473396,1
-73.97952,9.30473396,1
-73.89618667,9.30473396,1
-73.81285334,9.30473396,1
-73.72952,9.30473396,1
-75.97951999,9.221400627,1
-75.89618666,9.221400627,1
-75.81285333,9.221400627,1
-75.72952,9.221400627,1
-75.64618666,9.221400627,1
-75.56285333,9.221400627,1
-75.22952,9.221400627,1
-75.14618666,9.221400627,1
-75.06285333,9.221400627,1
-74.97952,9.221400627,1
-74.89618667,9.221400627,1
-74.81285333,9.221400627,1
-74.72952,9.221400627,1
-74.64618667,9.221400627,1
-74.56285333,9.221400627,1
-74.47952,9.221400627,1
-74.39618667,9.221400627,1
-74.31285333,9.221400627,1
-74.22952,9.221400627,1
-74.14618667,9.221400627,1
-74.06285334,9.221400627,1
-73.97952,9.221400627,1
-73.89618667,9.221400627,1
-73.81285334,9.221400627,1
-73.72952,9.221400627,1
-75.97951999,9.138067294,1
-75.89618666,9.138067294,1
-75.81285333,9.138067294,1
-75.72952,9.138067294,1
-75.64618666,9.138067294,1
-75.56285333,9.138067294,1
-75.06285333,9.138067294,1
-74.97952,9.138067294,1
-74.89618667,9.138067294,1
-74.81285333,9.138067294,1
-74.72952,9.138067294,1
-74.64618667,9.138067294,1
-74.56285333,9.138067294,1
-74.47952,9.138067294,1
-74.39618667,9.138067294,1
-74.31285333,9.138067294,1
-74.22952,9.138067294,1
-74.14618667,9.138067294,1
-74.06285334,9.138067294,1
-73.97952,9.138067294,1
-73.89618667,9.138067294,1
-73.81285334,9.138067294,1
-73.72952,9.138067294,1
-75.97951999,9.054733961,1
-75.89618666,9.054733961,1
-75.81285333,9.054733961,1
-75.72952,9.054733961,1
-74.97952,9.054733961,1
-74.89618667,9.054733961,1
-74.81285333,9.054733961,1
-74.72952,9.054733961,1
-74.64618667,9.054733961,1
-74.56285333,9.054733961,1
-74.47952,9.054733961,1
-74.39618667,9.054733961,1
-74.31285333,9.054733961,1
-74.22952,9.054733961,1
-74.14618667,9.054733961,1
-74.06285334,9.054733961,1
-73.97952,9.054733961,1
-73.89618667,9.054733961,1
-73.81285334,9.054733961,1
-73.72952,9.054733961,1
-75.97951999,8.971400628,1
-75.89618666,8.971400628,1
-75.81285333,8.971400628,1
-75.72952,8.971400628,1
-74.97952,8.971400628,1
-74.89618667,8.971400628,1
-74.81285333,8.971400628,1
-74.72952,8.971400628,1
-74.64618667,8.971400628,1
-74.56285333,8.971400628,1
-74.47952,8.971400628,1
-74.39618667,8.971400628,1
-74.31285333,8.971400628,1
-74.22952,8.971400628,1
-74.14618667,8.971400628,1
-74.06285334,8.971400628,1
-73.97952,8.971400628,1
-73.89618667,8.971400628,1
-73.81285334,8.971400628,1
-76.06285333,8.888067295,1
-75.97951999,8.888067295,1
-75.89618666,8.888067295,1
-75.81285333,8.888067295,1
-75.72952,8.888067295,1
-75.22952,8.888067295,1
-75.06285333,8.888067295,1
-74.97952,8.888067295,1
-74.89618667,8.888067295,1
-74.81285333,8.888067295,1
-74.72952,8.888067295,1
-74.64618667,8.888067295,1
-74.56285333,8.888067295,1
-74.47952,8.888067295,1
-74.39618667,8.888067295,1
-74.31285333,8.888067295,1
-74.22952,8.888067295,1
-74.14618667,8.888067295,1
-74.06285334,8.888067295,1
-73.97952,8.888067295,1
-73.89618667,8.888067295,1
-73.81285334,8.888067295,1
-73.72952,8.888067295,1
-73.64618667,8.888067295,1
-76.06285333,8.804733962,1
-75.97951999,8.804733962,1
