x,y,Trilepida.joshuai
-75.20720042,7.526461697,1
-75.54053375,7.443128364,1
-75.45720042,7.443128364,1
-75.20720042,7.443128364,1
-75.12386709,7.443128364,1
-75.87386708,7.359795031,1
-75.79053375,7.359795031,1
-75.70720042,7.359795031,1
-75.62386708,7.359795031,1
-75.54053375,7.359795031,1
-75.45720042,7.359795031,1
-75.29053375,7.359795031,1
-75.12386709,7.359795031,1
-76.29053375,7.276461698,1
-76.20720041,7.276461698,1
-76.12386708,7.276461698,1
-76.04053375,7.276461698,1
-75.87386708,7.276461698,1
-75.79053375,7.276461698,1
-75.70720042,7.276461698,1
-75.62386708,7.276461698,1
-75.54053375,7.276461698,1
-75.45720042,7.276461698,1
-75.37386708,7.276461698,1
-75.29053375,7.276461698,1
-75.20720042,7.276461698,1
-75.12386709,7.276461698,1
-75.04053375,7.276461698,1
-76.37386708,7.193128365,1
-76.29053375,7.193128365,1
-76.20720041,7.193128365,1
-76.12386708,7.193128365,1
-76.04053375,7.193128365,1
-75.95720042,7.193128365,1
-75.87386708,7.193128365,1
-75.79053375,7.193128365,1
-75.70720042,7.193128365,1
-75.62386708,7.193128365,1
-75.54053375,7.193128365,1
-75.45720042,7.193128365,1
-75.37386708,7.193128365,1
-75.29053375,7.193128365,1
-75.20720042,7.193128365,1
-75.12386709,7.193128365,1
-75.04053375,7.193128365,1
-74.95720042,7.193128365,1
-74.87386709,7.193128365,1
-76.54053375,7.109795032,1
-76.37386708,7.109795032,1
-76.29053375,7.109795032,1
-76.20720041,7.109795032,1
-76.12386708,7.109795032,1
-76.04053375,7.109795032,1
-75.95720042,7.109795032,1
-75.87386708,7.109795032,1
-75.79053375,7.109795032,1
-75.70720042,7.109795032,1
-75.62386708,7.109795032,1
-75.54053375,7.109795032,1
-75.45720042,7.109795032,1
-75.37386708,7.109795032,1
-75.29053375,7.109795032,1
-75.20720042,7.109795032,1
-75.12386709,7.109795032,1
-75.04053375,7.109795032,1
-74.95720042,7.109795032,1
-74.87386709,7.109795032,1
-74.79053375,7.109795032,1
-74.70720042,7.109795032,1
-76.54053375,7.026461699,1
-76.29053375,7.026461699,1
-76.20720041,7.026461699,1
-76.12386708,7.026461699,1
-76.04053375,7.026461699,1
-75.95720042,7.026461699,1
-75.87386708,7.026461699,1
-75.79053375,7.026461699,1
-75.70720042,7.026461699,1
-75.62386708,7.026461699,1
-75.54053375,7.026461699,1
-75.45720042,7.026461699,1
-75.37386708,7.026461699,1
-75.29053375,7.026461699,1
-75.20720042,7.026461699,1
-75.12386709,7.026461699,1
-75.04053375,7.026461699,1
-74.95720042,7.026461699,1
-74.87386709,7.026461699,1
-74.79053375,7.026461699,1
-74.70720042,7.026461699,1
-74.62386709,7.026461699,1
-76.54053375,6.943128366,1
-76.45720041,6.943128366,1
-76.37386708,6.943128366,1
-76.29053375,6.943128366,1
-76.20720041,6.943128366,1
-76.12386708,6.943128366,1
-76.04053375,6.943128366,1
-75.95720042,6.943128366,1
-75.87386708,6.943128366,1
-75.79053375,6.943128366,1
-75.70720042,6.943128366,1
-75.62386708,6.943128366,1
-75.54053375,6.943128366,1
-75.45720042,6.943128366,1
-75.37386708,6.943128366,1
-75.29053375,6.943128366,1
-75.20720042,6.943128366,1
-75.12386709,6.943128366,1
-75.04053375,6.943128366,1
-74.95720042,6.943128366,1
-74.87386709,6.943128366,1
-74.79053375,6.943128366,1
-74.70720042,6.943128366,1
-74.62386709,6.943128366,1
-76.62386708,6.859795033,1
-76.54053375,6.859795033,1
